"","nbr.val","nbr.null","nbr.na","min","max","range","sum","median","mean","SE.mean","CI.mean.0.95","var","std.dev","coef.var"
"VALUESCORE239",87971,0,7254,0.000505050505050505,0.993303571428571,0.992798520923521,43931.4444042405,0.548387096774194,0.499385529370366,0.00069994895232478,0.0013718936132264,0.0430995032281891,0.207604198484012,0.415719291557693
"VALUESCORE240",94655,10725,570,0,0.84,0.84,45778.0001842207,0.521544368600683,0.483630026773237,0.000584609006216953,0.00114582724920345,0.0323500207111458,0.179861115061443,0.371898155830957
"VALUESCORE241",89520,0,5705,0.000158478605388273,0.999856979405034,0.999698500799646,45208.9124821227,0.504008032128514,0.505014661328448,0.00095692215346482,0.0018755583157632,0.0819734646975174,0.286310084868692,0.566934203683412
"VALUESCORE242",94655,64605,570,0,0.997652582159624,0.997652582159624,20717.1244618578,0,0.218869837429166,0.00106390061871124,0.00208523356020853,0.107138529855305,0.327320225246325,1.4955017515936
"VALUESCORE243",94655,6297,570,0,0.942307692307692,0.942307692307692,46202.3664990122,0.508578431372549,0.488113322053904,0.000448040444566587,0.000878154364147964,0.0190010674141166,0.137844359384476,0.282402370835626
"VALUESCORE244",20380,0,74845,0.00169491525423729,0.998316498316498,0.996621583062261,10114.90622717,0.5,0.496315320273308,0.00198990051575078,0.00390036499683012,0.0806987687954865,0.284075287195994,0.572368564080515
"VALUESCORE245",94655,54117,570,0,0.99746835443038,0.99746835443038,26037.6721083871,0,0.275079732802145,0.00106690347906078,0.00209111913360454,0.107744180548437,0.328244086844588,1.19326888789979
"VALUESCORE246",93730,0,1495,0.003125,0.999850657108722,0.996725657108722,47219.4357607723,0.486440677966102,0.503781454825268,0.00090632521112444,0.00177638771137247,0.0769922016472112,0.277474686498086,0.55078384454292
"VALUESCORE247",94655,41526,570,0,0.993975903614458,0.993975903614458,35138.8763591171,0.53125,0.371231063959823,0.00109515111494231,0.00214648419054761,0.113525038825369,0.336934769392191,0.90761469635164
"VALUESCORE248",91460,0,3765,0.000149298297999367,0.999189627228525,0.999040328930526,45743.7318348337,0.5,0.500150140332755,0.00094864653301923,0.0018593376451701,0.0823076201719763,0.286893046573067,0.573613847998113
"VALUESCORE250",94655,0,570,0.000157629255989944,0.995744680851064,0.995587051595074,48873.4486655331,0.5,0.51633245645273,0.000879955981960095,0.00172470408684617,0.0732934990948841,0.270727721326953,0.524328304261341
"VALUESCORE251",92540,0,2685,0.000579374275782155,0.999309392265193,0.998730017989411,46447.4137959065,0.5,0.501917157941501,0.000939027701163366,0.00184048454739492,0.0815992755995166,0.285655869184438,0.569129516026092
"VALUESCORE252",94655,9189,570,0,0.958515283842795,0.958515283842795,46406.0171434926,0.510869565217391,0.490264826406346,0.000559126108983463,0.00109588104972949,0.0295912359539811,0.172021033463879,0.350873699679412
"VALUESCORE253",94655,34812,570,0,0.9375,0.9375,38468.6091800398,0.547548291233284,0.406408633247476,0.0010383995430971,0.00203525173130759,0.102063988659073,0.319474550878585,0.78609193984333
"VALUESCORE254",80496,0,14729,0.00127551020408163,0.987179487179487,0.985903976975406,40214.9625413811,0.559707903780069,0.499589576393623,0.000789446481956266,0.00154730993850755,0.0501671798007951,0.223980311190058,0.448328631687834
"VALUESCORE255",94655,15614,570,0,0.923076923076923,0.923076923076923,44607.8812668355,0.535714285714286,0.471268092196245,0.000707313661527564,0.00138632702967867,0.04735519754699,0.217612494004802,0.461759447771364
"VALUESCORE257",94655,84795,570,0,0.998826291079812,0.998826291079812,8830.09851951434,0,0.0932871852465727,0.000890215826759858,0.00174481327028184,0.0750125936750213,0.273884270587088,2.93592597807693
"VALUESCORE258",94655,14057,570,0,0.982142857142857,0.982142857142857,44733.9710667051,0.516666666666667,0.472600190868999,0.00067941805252115,0.00133165194155522,0.0436935894916234,0.209030116231187,0.442297993673744
"VALUESCORE259",94655,91148,570,0,0.999161073825503,0.999161073825503,3277.130533111,0,0.0346218428303946,0.000575057551373145,0.00112710650232274,0.0313015743425213,0.176922509428623,5.11014131441042
"VALUESCORE260",93582,0,1643,0.00909090909090909,0.999850701702001,0.990759792611092,46927.7641715586,0.473860981308411,0.501461436724568,0.000884466671715338,0.00173354524353598,0.0732074479966387,0.27056874911312,0.539560431367193
"VALUESCORE261",4321,0,90904,0.00454545454545455,0.989583333333333,0.985037878787879,2143.43373016557,0.5,0.496050388837207,0.00422361022457333,0.00828044390386276,0.0770818148651293,0.277636119525413,0.559693381505496
"VALUESCORE262",70486,0,24739,0.000145772594752236,0.99985426989216,0.999708497297408,35294.3112522515,0.5,0.500727963741047,0.00108079548529557,0.0021183566021301,0.0823360274486526,0.286942550780906,0.573050781180854
"VALUESCORE263",91994,0,3231,0.000330141961043249,0.9996,0.999269858038957,46211.0097382454,0.5,0.502326344525137,0.000937409072470023,0.00183731219458921,0.0808384183471031,0.284320977676821,0.566008493832027
"VALUESCORE264",73350,0,21875,0.000357909806728704,0.96875,0.968392090193271,36622.0463152124,0.56224,0.49927806837372,0.000784361147449282,0.00153734496828395,0.0451265637462104,0.212430138507252,0.425474604160349
"VALUESCORE265",63201,0,32024,0.152173913043478,0.999637286906057,0.847463373862579,31600.6676921498,0.451219512195122,0.500002653314819,0.000612215230063499,0.00119994278221641,0.0236882080441395,0.153909739926164,0.307817846377022
"VALUESCORE267",93019,0,2206,0.000157678965625985,0.999600319744205,0.999442640778579,46497.3923370602,0.514084507042254,0.499869836668425,0.000922301409462552,0.0018077010675198,0.0791256719182928,0.281292857922651,0.56273221004379
"VALUESCORE269",94655,76879,570,0,0.998837209302326,0.998837209302326,14980.1134183749,0,0.158260138591463,0.00107559339542607,0.00210815127450343,0.10950647856946,0.3309176310949,2.0909727113859
"VALUESCORE270",76821,0,18404,0.000152299725860505,0.999847700274139,0.999695400548279,38728.2289177992,0.504144562334218,0.50413596435609,0.0010350410680177,0.00202867517933596,0.0822991064689732,0.286878208424713,0.569049281757015
"VALUESCORE289",6785,0,88440,0.00308641975308642,0.996913580246914,0.993827160493827,3367.10256624523,0.5,0.496256826270484,0.00348929875696054,0.00684012026861336,0.0826087714569892,0.287417416759996,0.579170706668203
"VALUESCORE296",16138,10922,79087,0,0.991666666666667,0.991666666666667,4056.39695385547,0,0.251356856726699,0.00289368748419599,0.00567194867867654,0.135130369060435,0.367600828427297,1.46246588700379
"VALUESCORE301",77686,56234,17539,0,0.993243243243243,0.993243243243243,17202.0165601132,0,0.221430071829071,0.00129920075358012,0.00254642636007872,0.131127954956242,0.362115941317476,1.63535123448366
"VALUESCORE303",93760,29267,1465,0,0.991525423728814,0.991525423728814,39952.8345704985,0.563091482649842,0.426118116152927,0.000964597561107498,0.00189060088570773,0.0872388471309115,0.295362230372997,0.693146381664271
"VALUESCORE304",2407,2108,92818,0,0.986842105263158,0.986842105263158,270.305470551421,0,0.112299738492489,0.0060828043684885,0.0119280779861089,0.0890602251276239,0.298429598276753,2.65743805179664
"VALUESCORE305",12079,9977,83146,0,0.993055555555556,0.993055555555556,1811.07802776402,0,0.149936089722992,0.00299515310987251,0.00587098056726074,0.108360010248923,0.3291808169516,2.19547420210681
